ICAO,IATA,DB ID,FlighStats API Name (Okay quality),OurAirports.com Name (Good quality),FlightAware API Name (bad quality),Marketing Name (OurAirports + our edits),City,Country,Country Code,Continent,Latitude,Longitude,Timezone,Flight Rank,Relevance,On Time Departures,On Time Departures Rank,Cancel %,No Flights,Airport Type,Elevation (ft),Website,Apple terminal maps? (63),Google terminal maps?,"If Gate known, replace any ""N/A"" Terminal with:"
KATL,ATL,6f0c1d11-cfef-4b33-b462-90379270f593,Hartsfield Jackson Atlanta International Airport,Hartsfield Jackson Atlanta International Airport,Hartsfield-Jackson Intl,Hartsfield Jackson Atlanta Intl ,Atlanta,United States,US,North America,33.640067,-84.44403,America/New_York,1,5,85%,285,0%,31286,large_airport,1026,http://www.atlanta-airport.com/,TRUE,,
KORD,ORD,a5eff314-18e7-4c87-bd38-0131882f1b8d,Chicago O'Hare International Airport,Chicago O'Hare International Airport,Chicago O'Hare Intl,Chicago O'Hare Intl ,Chicago,United States,US,North America,41.976912,-87.904876,America/Chicago,2,5,74%,842,5%,30648,large_airport,672,http://www.flychicago.com/ohare/en/home/Pages/default.aspx,TRUE,,
KLAX,LAX,25b8d712-9888-423f-868d-b25f1d184aaf,Los Angeles International Airport,Los Angeles International Airport,Los Angeles Intl,Los Angeles Intl ,Los Angeles,United States,US,North America,33.943399,-118.408279,America/Los_Angeles,3,5,81%,473,1%,23637,large_airport,125,http://www.iflylax.com/,TRUE,,
KDFW,DFW,1573100e-e4a3-47b0-9399-01b36074e1f5,Dallas Fort Worth International Airport,Dallas Fort Worth International Airport,Dallas-Fort Worth Intl,Dallas Fort Worth Intl ,Dallas,United States,US,North America,32.897462,-97.036128,America/Chicago,4,5,76%,767,2%,23268,large_airport,607,http://www.dfwairport.com/,TRUE,,
ZBAA,PEK,fa495023-95f7-46c7-abf5-69a5f2120d69,Beijing Capital International Airport,Beijing Capital International Airport,Beijing Capital Intl,Beijing Capital Intl ,Beijing,China,CN,Asia,40.078538,116.587095,Asia/Shanghai,5,5,80%,531,0%,22832,large_airport,116,http://en.bcia.com.cn/,TRUE,,
KDEN,DEN,d00b5728-0678-4689-b660-fe9e583203dc,Denver International Airport,Denver International Airport,Denver Intl,Denver Intl ,Denver,United States,US,North America,39.851382,-104.673098,America/Denver,6,5,77%,692,1%,19829,large_airport,5431,http://www.flydenver.com/,TRUE,,Main
RJTT,HND,deceac13-5547-4a5a-9877-06e35ae80304,Tokyo Haneda International Airport,Tokyo Haneda International Airport,Henderson Executive,Tokyo Haneda Intl ,Tokyo,Japan,JP,Asia,35.549069,139.784524,Asia/Tokyo,7,5,88%,160,2%,19236,large_airport,35,http://www.haneda-airport.jp/,,,
KCLT,CLT,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,Charlotte Douglas International Airport,Charlotte Douglas International Airport,Charlotte/Douglas Intl,Charlotte Douglas Intl ,Charlotte,United States,US,North America,35.219167,-80.935833,America/New_York,8,5,81%,463,1%,19029,large_airport,748,http://www.charlotteairport.com/,TRUE,,Main
WIII,CGK,54e67e4a-41d4-438f-b7c9-a0054d50081c,Soekarno-Hatta International Airport,Soekarno-Hatta International Airport,Jakarta-Soekarno-Hatta Intl,Soekarno-Hatta Intl ,Jakarta,Indonesia,ID,Asia,-6.130643,106.655526,Asia/Jakarta,9,5,39%,1187,1%,18693,large_airport,34,http://www.jakartasoekarnohattaairport.com/,,,
ZGGG,CAN,7436d9ad-c589-49cb-9578-7762e8598fdc,Guangzhou Baiyun International Airport,Guangzhou Baiyun International Airport,Guangzhou Baiyun Intl,Guangzhou Baiyun Intl ,Guangzhou,China,CN,Asia,23.387862,113.29734,Asia/Shanghai,10,5,79%,608,0%,18366,large_airport,50,http://www.baiyunairport.com/english/index.jsp,,,
